Time (s),Pressure,PWM
0.05,0.07,100.00
0.1,0.07,100.00
0.15,0.07,100.00
0.2,0.06,100.00
0.25,0.06,100.00
0.3,0.06,100.00
0.35,0.06,100.00
0.4,0.07,100.00
0.45,0.08,100.00
0.5,0.08,100.00
0.55,0.08,100.00
0.6,0.08,100.00
0.65,0.08,100.00
0.7,0.10,100.00
0.75,0.12,100.00
0.8,0.14,100.00
0.85,0.16,100.00
0.9,0.19,100.00
0.95,0.21,100.00
1,0.22,100.00
1.05,0.24,100.00
1.1,0.27,100.00
1.15,0.30,100.00
1.2,0.34,100.00
1.25,0.39,100.00
1.3,0.44,100.00
1.35,0.50,100.00
1.4,0.54,100.00
1.45,0.58,100.00
1.5,0.62,100.00
1.55,0.67,100.00
1.6,0.74,100.00
1.65,0.79,100.00
1.7,0.84,100.00
1.75,0.89,100.00
1.8,0.96,100.00
1.85,1.02,100.00
1.9,1.08,100.00
1.95,1.14,100.00
2,1.19,100.00
2.05,1.27,100.00
2.1,1.34,100.00
2.15,1.41,100.00
2.2,1.50,100.00
2.25,1.57,100.00
2.3,1.64,100.00
2.35,1.72,100.00
2.4,1.80,100.00
2.45,1.93,100.00
2.5,2.03,100.00
2.55,2.13,100.00
2.6,2.22,100.00
2.65,2.35,100.00
2.7,2.47,100.00
2.75,2.59,100.00
2.8,2.72,100.00
2.85,2.88,100.00
2.9,3.02,100.00
2.95,3.21,100.00
3,3.41,100.00
3.05,3.61,100.00
3.1,3.86,100.00
3.15,4.09,100.00
3.2,4.33,100.00
3.25,4.59,100.00
3.3,5.01,100.00
3.35,5.30,100.00
3.4,5.63,100.00
3.45,5.98,100.00
3.5,6.33,100.00
3.55,6.70,100.00
3.6,7.07,100.00
3.65,7.44,100.00
3.7,7.82,100.00
3.75,8.21,100.00
3.8,8.61,100.00
3.85,9.02,100.00
3.9,9.44,100.00
3.95,9.85,100.00
4,10.47,100.00
4.05,10.90,100.00
4.1,11.33,100.00
4.15,11.72,100.00
4.2,12.12,100.00
4.25,12.52,100.00
4.3,12.89,100.00
4.35,13.25,100.00
4.4,13.65,100.00
4.45,14.03,100.00
4.5,14.38,100.00
4.55,14.64,100.00
4.6,14.83,100.00
4.65,14.95,100.00
4.7,15.00,100.00
4.75,15.00,100.00
4.8,15.00,100.00
4.85,15.00,100.00
4.9,15.00,100.00
4.95,15.00,100.00
5,15.00,100.00
5.05,15.00,100.00
5.1,15.00,100.00
5.15,15.00,100.00
5.2,15.00,100.00
5.25,15.00,100.00
5.3,15.00,100.00
5.35,15.00,100.00
5.4,15.00,100.00
5.45,15.00,100.00
5.5,15.00,100.00
5.55,15.00,100.00
5.6,15.00,100.00
5.65,15.00,100.00
5.7,15.00,100.00
5.75,15.00,100.00
5.8,15.00,100.00
5.85,15.00,100.00
5.9,15.00,100.00
5.95,15.00,100.00
6,15.00,100.00
6.05,15.00,100.00
6.1,15.00,100.00
6.15,15.00,100.00
6.2,15.00,100.00
6.25,15.00,100.00
6.3,15.00,100.00
6.35,15.00,100.00
6.4,15.00,100.00
6.45,15.00,100.00
6.5,15.00,100.00
6.55,15.00,100.00
6.6,15.00,100.00
6.65,15.00,100.00
6.7,15.00,100.00
6.75,15.00,100.00
6.8,15.00,100.00
6.85,15.00,100.00
6.9,15.00,100.00
6.95,15.00,100.00
7,15.00,100.00
7.05,15.00,100.00
7.1,15.00,100.00
7.15,15.00,100.00
7.2,15.00,100.00
7.25,15.00,100.00
7.3,15.00,100.00
7.35,15.00,100.00
7.4,15.00,100.00
7.45,15.00,100.00
7.5,15.00,100.00
7.55,15.00,100.00
7.6,15.00,100.00
7.65,15.00,100.00
7.7,15.00,100.00
7.75,15.00,100.00
7.8,15.00,100.00
7.85,15.00,100.00
7.9,15.00,100.00
7.95,15.00,100.00
8,15.00,50.00
8.05,15.00,50.00
8.1,15.00,50.00
8.15,15.00,50.00
8.2,15.00,50.00
8.25,15.00,50.00
8.3,15.00,50.00
8.35,15.00,50.00
8.4,15.00,50.00
8.45,15.00,50.00
8.5,15.00,50.00
8.55,15.00,50.00
8.6,15.00,50.00
8.65,15.00,50.00
8.7,15.00,50.00
8.75,15.00,50.00
8.8,15.00,50.00
8.85,15.00,50.00
8.9,15.00,50.00
8.95,15.00,50.00
9,15.00,50.00
9.05,15.00,50.00
9.1,15.00,50.00
9.15,15.00,50.00
9.2,15.00,50.00
9.25,15.00,50.00
9.3,15.00,50.00
9.35,15.00,50.00
9.4,15.00,50.00
9.45,15.00,50.00
9.5,15.00,50.00
9.55,15.00,50.00
9.6,15.00,50.00
9.65,15.00,50.00
9.7,15.00,50.00
9.75,15.00,50.00
9.8,15.00,50.00
9.85,15.00,50.00
9.9,15.00,50.00
9.95,15.00,50.00
10,14.96,50.00
10.05,14.91,50.00
10.1,14.82,50.00
10.15,14.70,50.00
10.2,14.56,50.00
10.25,14.42,50.00
10.3,14.29,50.00
10.35,14.18,50.00
10.4,14.07,50.00
10.45,13.96,50.00
10.5,13.86,50.00
10.55,13.74,50.00
10.6,13.62,50.00
10.65,13.50,50.00
10.7,13.32,50.00
10.75,13.21,50.00
10.8,13.10,50.00
10.85,12.98,50.00
10.9,12.87,50.00
10.95,12.75,50.00
11,12.63,50.00
11.05,12.52,50.00
11.1,12.42,50.00
11.15,12.33,50.00
11.2,12.24,50.00
11.25,12.14,50.00
11.3,12.04,50.00
11.35,11.93,50.00
11.4,11.79,50.00
11.45,11.68,50.00
11.5,11.58,50.00
11.55,11.47,50.00
11.6,11.36,50.00
11.65,11.25,50.00
11.7,11.14,50.00
11.75,11.03,50.00
11.8,10.94,50.00
11.85,10.85,50.00
11.9,10.77,50.00
11.95,10.70,50.00
12,10.62,50.00
12.05,10.53,50.00
12.1,10.45,50.00
12.15,10.38,50.00
12.2,10.29,50.00
12.25,10.25,50.00
12.3,10.22,50.00
12.35,10.20,50.00
12.4,10.19,50.00
12.45,10.19,50.00
12.5,10.19,50.00
12.55,10.20,50.00
12.6,10.22,50.00
12.65,10.25,50.00
12.7,10.28,50.00
12.75,10.31,50.00
12.8,10.32,50.00
12.85,10.34,50.00
12.9,10.36,50.00
12.95,10.38,50.00
13,10.40,50.00
13.05,10.42,50.00
13.1,10.44,50.00
13.15,10.45,50.00
13.2,10.46,50.00
13.25,10.46,50.00
13.3,10.46,50.00
13.35,10.47,50.00
13.4,10.48,50.00
13.45,10.50,50.00
13.5,10.52,50.00
13.55,10.54,50.00
13.6,10.56,50.00
13.65,10.58,50.00
13.7,10.60,50.00
13.75,10.60,50.00
13.8,10.59,50.00
13.85,10.57,50.00
13.9,10.54,50.00
13.95,10.53,50.00
14,10.51,50.00
14.05,10.50,50.00
14.1,10.50,50.00
14.15,10.51,50.00
14.2,10.51,50.00
14.25,10.52,50.00
14.3,10.52,50.00
14.35,10.52,50.00
14.4,10.53,50.00
14.45,10.54,50.00
14.5,10.55,50.00
14.55,10.56,50.00
14.6,10.57,50.00
14.65,10.58,50.00
14.7,10.58,50.00
14.75,10.59,50.00
14.8,10.60,50.00
14.85,10.62,50.00
14.9,10.65,50.00
14.95,10.67,50.00
15,10.70,50.00
15.05,10.71,50.00
15.1,10.72,50.00
15.15,10.72,50.00
15.2,10.74,50.00
15.25,10.74,50.00
15.3,10.75,50.00
15.35,10.76,50.00
15.4,10.76,50.00
15.45,10.58,60.00
15.5,10.58,60.00
15.55,10.62,60.00
15.6,10.68,60.00
15.65,10.78,60.00
15.7,10.88,60.00
15.75,11.02,60.00
15.8,11.16,60.00
15.85,11.27,60.00
15.9,11.37,60.00
15.95,11.47,60.00
16,11.56,60.00
16.05,11.70,60.00
16.1,11.78,60.00
16.15,11.85,60.00
16.2,11.91,60.00
16.25,11.95,60.00
16.3,12.00,60.00
16.35,12.04,60.00
16.4,12.09,60.00
16.45,12.14,60.00
16.5,12.19,60.00
16.55,12.23,60.00
16.6,12.28,60.00
16.65,12.32,60.00
16.7,12.37,60.00
16.75,12.44,60.00
16.8,12.49,60.00
16.85,12.53,60.00
16.9,12.57,60.00
16.95,12.59,60.00
17,12.62,60.00
17.05,12.65,60.00
17.1,12.69,60.00
17.15,12.71,60.00
17.2,12.75,60.00
17.25,12.76,60.00
17.3,12.78,60.00
17.35,12.80,60.00
17.4,12.83,60.00
17.45,12.87,60.00
17.5,12.88,60.00
17.55,12.88,60.00
17.6,12.84,60.00
17.65,12.80,60.00
17.7,12.76,60.00
17.75,12.71,60.00
17.8,12.66,60.00
17.85,12.63,60.00
17.9,12.61,60.00
17.95,12.59,60.00
18,12.58,60.00
18.05,12.58,60.00
18.1,12.58,60.00
18.15,12.59,60.00
18.2,12.60,60.00
18.25,12.60,60.00
