Time (s),PWM,Pressure,PWM/10
0.05,60.00,0.08,6
0.1,60.00,0.08,6
0.15,60.00,0.08,6
0.2,60.00,0.08,6
0.25,60.00,0.08,6
0.3,60.00,0.08,6
0.35,60.00,0.08,6
0.4,60.00,0.08,6
0.45,60.00,0.08,6
0.5,60.00,0.09,6
0.55,60.00,0.09,6
0.6,60.00,0.09,6
0.65,60.00,0.09,6
0.7,60.00,0.09,6
0.75,60.00,0.08,6
0.8,60.00,0.09,6
0.85,60.00,0.09,6
0.9,60.00,0.09,6
0.95,60.00,0.09,6
1,60.00,0.09,6
1.05,60.00,0.09,6
1.1,60.00,0.10,6
1.15,60.00,0.11,6
1.2,60.00,0.13,6
1.25,60.00,0.18,6
1.3,60.00,0.21,6
1.35,60.00,0.26,6
1.4,60.00,0.32,6
1.45,60.00,0.38,6
1.5,60.00,0.45,6
1.55,60.00,0.54,6
1.6,60.00,0.62,6
1.65,60.00,0.70,6
1.7,60.00,0.81,6
1.75,60.00,0.91,6
1.8,60.00,1.00,6
1.85,60.00,1.10,6
1.9,60.00,1.19,6
1.95,60.00,1.27,6
2,60.00,1.33,6
2.05,60.00,1.37,6
2.1,60.00,1.40,6
2.15,60.00,1.42,6
2.2,60.00,1.44,6
2.25,60.00,1.46,6
2.3,60.00,1.46,6
2.35,60.00,1.49,6
2.4,60.00,1.51,6
2.45,60.00,1.54,6
2.5,60.00,1.58,6
2.55,60.00,1.62,6
2.6,60.00,1.68,6
2.65,60.00,1.73,6
2.7,60.00,1.77,6
2.75,60.00,1.84,6
2.8,60.00,1.90,6
2.85,60.00,1.97,6
2.9,60.00,2.05,6
2.95,60.00,2.15,6
3,60.00,2.24,6
3.05,60.00,2.34,6
3.1,60.00,2.44,6
3.15,60.00,2.55,6
3.2,60.00,2.66,6
3.25,60.00,2.78,6
3.3,60.00,2.89,6
3.35,60.00,3.02,6
3.4,60.00,3.14,6
3.45,60.00,3.27,6
3.5,60.00,3.41,6
3.55,60.00,3.56,6
3.6,60.00,3.72,6
3.65,60.00,3.90,6
3.7,60.00,4.06,6
3.75,60.00,4.22,6
3.8,60.00,4.39,6
3.85,60.00,4.68,6
3.9,60.00,4.87,6
3.95,60.00,5.08,6
4,60.00,5.30,6
4.05,60.00,5.51,6
4.1,60.00,5.72,6
4.15,60.00,5.94,6
4.2,60.00,6.19,6
4.25,60.00,6.43,6
4.3,60.00,6.67,6
4.35,60.00,6.93,6
4.4,60.00,7.18,6
4.45,60.00,7.41,6
4.5,60.00,7.66,6
4.55,60.00,7.89,6
4.6,60.00,8.13,6
4.65,60.00,8.35,6
4.7,60.00,8.57,6
4.75,60.00,8.79,6
4.8,60.00,9.02,6
4.85,60.00,9.24,6
4.9,60.00,9.48,6
4.95,60.00,9.70,6
